ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez,symbol,chr,start,end,strand,biotype,description
ENSG00000119669,11.457510894092072,1.8552802409038924,0.5194608419110115,5.911729688812043e-7,4.2087484659553917e-5,64207,IRF2BPL,14,77024543,77028699,-1,protein_coding,interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]
ENSG00000197329,7.5354178088477735,2.041795954855085,0.7183147359852391,3.710327192039822e-6,1.889853647002397e-4,57162,PELI1,2,64092652,64144454,-1,protein_coding,pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]
ENSG00000135114,6.753664877471581,-2.005789020195426,0.639114936969792,1.635232884433541e-6,9.66484341601522e-5,8638,OASL,12,121019111,121039242,-1,protein_coding,2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]
ENSG00000185950,5.681353925021072,3.007223577400224,1.1478321701346799,8.040146401464125e-7,5.253467908181819e-5,8660,IRS2,13,109752698,109786568,-1,protein_coding,insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]
ENSG00000151632,52.23150846877401,3.8198772355784487,0.4487566232153452,6.82241242154109e-20,6.106059117279276e-17,1646,AKR1C2,10,4987400,5018031,-1,protein_coding,aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]
ENSG00000134107,30.45494064301468,1.5435802144170678,0.25572347166537085,1.281711451997603e-11,3.211968898705993e-9,8553,BHLHE40,3,4979116,4985323,1,protein_coding,basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]
ENSG00000164543,8.992917167981503,2.00091955773975,0.5967008661187545,7.976271429647452e-7,5.253467908181819e-5,9263,STK17A,7,43582758,43626786,1,protein_coding,serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]
ENSG00000141753,15.416632144146657,1.4652532840749908,0.37943537762709506,1.09830397440135e-6,6.860883545752364e-5,3487,IGFBP4,17,40443461,40457731,1,protein_coding,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
ENSG00000148926,12.636729908821831,3.362569428681598,0.6407251968601407,9.430066688621133e-11,1.858603996768611e-8,133,ADM,11,10304680,10307397,1,protein_coding,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
ENSG00000047457,8.79224592270865,2.1453979578461504,0.610462001748311,2.9865954317271297e-7,2.3684835923760085e-5,1356,CP,3,149162410,149222055,-1,protein_coding,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
ENSG00000101236,7.375474666070087,2.47892971333785,0.8179470659125768,8.050006690909092e-7,5.253467908181819e-5,11237,RNF24,20,3927309,4015582,-1,protein_coding,ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]
ENSG00000083312,16.38020175754493,1.2196758190708543,0.30892443337853037,2.6662887495319464e-6,1.440025777225659e-4,3842,TNPO1,5,72816312,72916733,1,protein_coding,transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]
ENSG00000117472,17.05666813938167,-1.4729588417172994,0.4044911175401444,2.439276305236712e-6,1.3523952258679645e-4,10103,TSPAN1,1,46175073,46185958,1,protein_coding,tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]
ENSG00000118985,13.675869263192286,1.2964405390644256,0.3680652654797514,9.037765152218437e-6,3.987436526665388e-4,22936,ELL2,5,95885098,95962071,-1,protein_coding,elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
ENSG00000198431,81.33534425711576,1.165332013963505,0.3103897185020858,7.432671615860018e-6,0.00033989553046250373,7296,TXNRD1,12,104215779,104350305,1,protein_coding,thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]
ENSG00000148346,111.03053709415715,-1.3290358277679541,0.2396644329735136,6.779858471220018e-10,1.0618953330548354e-7,3934,LCN2,9,128149071,128153455,1,protein_coding,lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]
ENSG00000106070,18.008319212372285,1.4260842338587791,0.3303569365378049,2.010438931840904e-7,1.6572894615767452e-5,2887,GRB10,7,50590063,50793462,-1,protein_coding,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]
ENSG00000156976,67.53975425576101,1.3454971252427277,0.23365578583817653,1.8313956173742645e-10,3.187137095236046e-8,1974,EIF4A2,3,186783205,186789900,1,protein_coding,eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]
ENSG00000136603,12.533582123144848,1.5248063171221555,0.4288005968746796,2.5887273096637093e-6,1.410293616960273e-4,6498,SKIL,3,170357678,170396835,1,protein_coding,SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]
ENSG00000001626,26.37890181792812,-2.0081110152575308,0.28002293702157016,8.048086960638063e-16,5.042126480839747e-13,1080,CFTR,7,117465784,117715971,1,protein_coding,cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000026025,50.09290477451323,1.0608951989871727,0.2756345191929539,8.52087923910253e-6,3.786050243473571e-4,7431,VIM,10,17228259,17237593,1,protein_coding,vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
ENSG00000196730,17.244945446928785,1.3239217774262455,0.36237527142241305,4.907784116418617e-6,2.3835091077025296e-4,1612,DAPK1,9,87497228,87708633,1,protein_coding,death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674]
ENSG00000109929,11.38337800880106,1.3345460701697958,0.4224361077668512,2.4816120970443648e-5,9.597098634557375e-4,6309,SC5D,11,121292453,121308694,1,protein_coding,sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]
ENSG00000122884,31.127966860406122,1.9087818788819333,0.2896502271660753,6.862031633512006e-14,3.306971398765594e-11,5033,P4HA1,10,73007217,73096974,-1,protein_coding,prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]
ENSG00000134278,21.196919512431894,2.3976666976975882,0.4205445263236958,5.141255071935571e-12,1.4411989434481177e-9,56907,SPIRE1,18,12446512,12658134,-1,protein_coding,spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]
ENSG00000001084,9.396267241754055,1.6412711735777592,0.49142019101740436,3.2147624490271916e-6,1.655798516740857e-4,2729,GCLC,6,53497341,53616970,-1,protein_coding,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000105855,31.883486509966914,1.2216957419312215,0.27590369101496676,3.4034629424785466e-7,2.632431522793592e-5,3696,ITGB8,7,20330702,20415754,1,protein_coding,integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]
ENSG00000053747,54.91119472095083,1.4043619488837313,0.27770061039120086,6.510115556495497e-9,7.695447917253639e-7,3909,LAMA3,18,23689443,23955066,1,protein_coding,laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]
ENSG00000205336,34.5308362938093,1.5613780211918316,0.26760564153457533,3.966659591885512e-11,9.204119386356568e-9,9289,ADGRG1,16,57610652,57665580,1,protein_coding,adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]
ENSG00000158158,10.01437378420493,1.3507358158960567,0.42545584975376033,2.180514859238599e-5,8.635530549851845e-4,26504,CNNM4,2,96760902,96811891,1,protein_coding,cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]
ENSG00000129521,9.495517720230517,2.421939217813057,0.6189497240114482,3.686486750824721e-8,3.666006268875695e-6,112399,EGLN3,14,33924231,34462774,-1,protein_coding,egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]
ENSG00000111412,15.255056558951116,2.0601670514235355,0.44656664450821276,3.4757215856398556e-9,4.355079146806739e-7,79794,C12orf49,12,116710185,116738070,-1,protein_coding,chromosome 12 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:26128]
ENSG00000100906,26.733516460253448,2.0206882019798442,0.4337200260670806,3.155362635181836e-9,4.0958108620896246e-7,4792,NFKBIA,14,35401511,35404749,-1,protein_coding,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
ENSG00000134294,44.33983658997462,2.605112945746386,0.4204230356622829,2.313580453014908e-13,9.663054358758933e-11,54407,SLC38A2,12,46358189,46372867,-1,protein_coding,solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]
ENSG00000163931,79.088085102149,1.4531778862474731,0.1950895401714635,1.2705818217708189e-15,7.236541012176527e-13,7086,TKT,3,53224707,53256052,-1,protein_coding,transketolase [Source:HGNC Symbol;Acc:HGNC:11834]
ENSG00000121966,9.095183772920427,2.0261154420026952,0.7359937574887335,5.020247594198072e-6,2.4009046700496886e-4,7852,CXCR4,2,136114349,136118165,-1,protein_coding,C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]
ENSG00000086696,13.845651155465733,2.2865837967498943,0.517528845712827,5.045448883429556e-9,6.078795625901187e-7,3294,HSD17B2,16,82035004,82098534,1,protein_coding,hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]
ENSG00000196878,114.74809934402994,1.0434416557869661,0.25401856235336456,3.2243801922168325e-6,1.655798516740857e-4,3914,LAMB3,1,209614870,209652466,-1,protein_coding,laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]
ENSG00000013275,13.699391159538306,-1.2011710335966386,0.3251328491866884,7.805196290826804e-6,3.517953580002153e-4,5704,PSMC4,19,39971005,39981441,1,protein_coding,"proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"
ENSG00000004799,6.7536722647834,3.137815445510141,1.1361340637019497,4.741180770511448e-7,3.4945291208534376e-5,5166,PDK4,7,95583499,95596491,-1,protein_coding,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000187134,72.96696959764886,3.6160911613835105,0.33941537202102784,8.245023785594316e-29,1.7218358005582798e-25,1645,AKR1C1,10,4963253,4983283,1,protein_coding,aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]
ENSG00000176407,11.179551150767011,1.4091066747645873,0.4140778919204373,7.764679299328875e-6,3.517953580002153e-4,56888,KCMF1,2,84971093,85059472,1,protein_coding,potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]
ENSG00000164171,38.68535441998948,1.7214312438210264,0.3481514047357936,2.484333406831222e-9,3.4587441763994683e-7,3673,ITGA2,5,52989326,53094779,1,protein_coding,integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]
ENSG00000168488,17.153766284679495,1.5626160381433585,0.3422658195715528,3.315408855555134e-8,3.405087947549658e-6,11273,ATXN2L,16,28823035,28837237,1,protein_coding,ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]
ENSG00000179674,9.178032835988688,-2.044559645326293,0.5963804684825841,5.364461718012756e-7,3.863029041764358e-5,80117,ARL14,3,160677159,160678452,1,protein_coding,ADP ribosylation factor like GTPase 14 [Source:HGNC Symbol;Acc:HGNC:22974]
ENSG00000159200,15.781376807976816,1.5071526586659634,0.41361533890606383,2.0473864447648234e-6,1.1876737107825573e-4,1827,RCAN1,21,34513142,34615142,-1,protein_coding,regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]
ENSG00000116459,8.324446192488455,-1.2858101906895076,0.37368604494921026,1.2655035952500408e-5,5.430397276877744e-4,515,ATP5F1,1,111448864,111462773,1,protein_coding,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 [Source:HGNC Symbol;Acc:HGNC:840]"
ENSG00000197930,44.190352345066685,1.3139196482720032,0.24030277160305524,1.130118680877042e-9,1.6857603656415874e-7,30001,ERO1A,14,52639916,52695900,-1,protein_coding,endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]
ENSG00000175792,4.972972480042686,-1.6114894696730953,0.5662532327586646,1.6843883987245333e-5,6.972160033054827e-4,8607,RUVBL1,3,128064778,128153914,-1,protein_coding,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]
ENSG00000174695,13.565392530192067,-1.1282853376877378,0.3038657015209915,1.0411502669477934e-5,4.539981884105171e-4,153339,TMEM167A,5,83052846,83077863,-1,protein_coding,transmembrane protein 167A [Source:HGNC Symbol;Acc:HGNC:28330]
